"state","count"
"CA ",1632814
"FL ",1605208
"NC ",1157081
"TN ",931712
"PA ",872651
"TX ",864292
"MI ",792506
"KY ",788674
"GA ",657934
"NY ",597153
"VA ",563096
"IA ",493778
"OH ",465811
"MN ",388766
"AZ ",386232
"CO ",365861
"MD ",356503
"AL ",308834
"CT ",277882
"IN ",277543
"IL ",267282
"MA ",243275
"MO ",241448
"UT ",239485
"NJ ",181144
"SC ",180561
"NE ",174057
"AR ",169389
"MS ",140834
"WV ",137509
"NM ",118636
"DE ",110656
"WA ",104890
"KS ",99647
"LA ",95484
"OR ",95372
"ME ",84891
"NH ",82228
"NV ",68750
"OK ",64035
"ND ",34699
"DC ",26718
"VT ",25904
"SD ",21340
"WI ",21277
"WY ",17065
"RI ",10846
"AK ",10575
NA,8060
"MT ",2991
"ID ",2534
"MSA",1522
"HI ",904
"XY ",369
