"state","count"
"CA ",137445
"PA ",114198
"FL ",94212
"MI ",78874
"NC ",72750
"TX ",66749
"TN ",63670
"GA ",57932
"IL ",57598
"OH ",46549
"KY ",45665
"NY ",44052
"IA ",38376
"AZ ",35843
"VA ",27774
"MA ",27358
"CO ",26162
"AL ",25990
"IN ",23595
"MO ",23414
"MN ",21066
"MD ",20170
"SC ",19683
"CT ",18173
"OR ",15362
"NE ",15006
"ME ",12987
"NJ ",12774
"NM ",12674
"DE ",12659
"UT ",11987
"MS ",10965
"NH ",10728
"AR ",10619
"WV ",9517
"OK ",8888
"LA ",8067
"WA ",7707
"HI ",7072
"KS ",6563
"NV ",4120
"DC ",3938
"VT ",3795
"ND ",1821
"WY ",1374
"SD ",1321
"RI ",960
NA,587
"WI ",516
"AK ",501
"ID ",209
"MT ",139
"MSA",129
"XY ",3
