"state","count"
"CA ",116964
"TN ",90629
"NC ",88798
"MI ",77339
"FL ",68208
"KY ",57429
"GA ",52109
"OH ",47435
"IA ",44988
"PA ",38711
"VA ",36766
"AL ",36521
"TX ",34821
"CO ",34038
"MN ",30165
"ME ",24821
"UT ",24717
"DE ",20275
"MA ",19775
"IN ",17518
"MS ",14977
"NH ",14322
"MO ",14232
"NY ",14148
"AR ",13951
"NE ",13612
"NJ ",13365
"IL ",12653
"CT ",12578
"MD ",11380
"NM ",10001
"SC ",8629
"KS ",8493
"WA ",6400
"AZ ",5455
"LA ",4568
"ND ",3765
"DC ",3397
"OR ",3103
"OK ",2893
"WV ",1904
"NV ",1843
"WY ",1379
"SD ",1186
"VT ",1022
"WI ",641
"AK ",504
"RI ",322
"ID ",205
"MT ",137
"MSA",99
NA,37
"HI ",31
