"state","count"
"CA ",1591174
"PA ",1496351
"FL ",1401553
"NC ",1338003
"MI ",997519
"IL ",935181
"TX ",912135
"KY ",893305
"TN ",872911
"GA ",865308
"VA ",728245
"NY ",660723
"OH ",615682
"IA ",535083
"IN ",457445
"AZ ",446654
"SC ",404570
"MD ",385534
"MN ",366037
"CO ",353742
"AL ",343279
"MA ",338450
"CT ",300398
"MO ",255416
"NE ",252661
"OR ",236149
"NJ ",226328
"OK ",190851
"UT ",182395
"HI ",180833
"WV ",154312
"NM ",140287
"AR ",137755
"ME ",130406
"MS ",129459
"DE ",124141
"WA ",117412
"NH ",111209
"LA ",107714
"KS ",92974
"NV ",83200
"VT ",47974
"DC ",34236
"ND ",30598
NA,21118
"SD ",21065
"WY ",15597
"WI ",12121
"AK ",10764
"RI ",10145
"ID ",4324
"MT ",3240
"MSA",1441
"XY ",67
