"","2016","2017","2018","2019","2020","2021","2022","2023"
"All","1001","1002","1003","1004","1005","1006","1007","1008"
"15 - 29","1001011 1001001","1002011 1002001","1003011 1003001","1004011 1004001","1005011 1005001","1006011 1006001","1007011 1007001","1008011 1008001"
"30 - 44","1001012 1001002","1002012 1002002","1003012 1003002","1004012 1004002","1005012 1005002","1006012 1006002","1007012 1007002","1008012 1008002"
"45 - 55","1001013 1001003","1002013 1002003","1003013 1003003","1004013 1004003","1005013 1005003","1006013 1006003","1007013 1007003","1008013 1008003"
"55+","1001014 1001004","1002014 1002004","1003014 1003004","1004014 1004004","1005014 1005004","1006014 1006004","1007014 1007004","1008014 1008004"
"Unknown age","0","0","0","0","0","0","0","0"
"male","1001001 1001002 1001003 1001004","1002001 1002002 1002003 1002004","1003001 1003002 1003003 1003004","1004001 1004002 1004003 1004004","1005001 1005002 1005003 1005004","1006001 1006002 1006003 1006004","1007001 1007002 1007003 1007004","1008001 1008002 1008003 1008004"
"female","1001011 1001012 1001013 1001014","1002011 1002012 1002013 1002014","1003011 1003012 1003013 1003014","1004011 1004012 1004013 1004014","1005011 1005012 1005013 1005014","1006011 1006012 1006013 1006014","1007011 1007012 1007013 1007014","1008011 1008012 1008013 1008014"
"Unknown Sex","0","0","0","0","0","0","0","0"
"White","1001015 1001005","1002015 1002005","1003015 1003005","1004015 1004005","1005015 1005005","1006015 1006005","1007015 1007005","1008015 1008005"
"African American","1001017 1001007","1002017 1002007","1003017 1003007","1004017 1004007","1005017 1005007","1006017 1006007","1007017 1007007","1008017 1008007"
"Hispanic","1001018 1001008","1002018 1002008","1003018 1003008","1004018 1004008","1005018 1005008","1006018 1006008","1007018 1007008","1008018 1008008"
"Asian","1001016 1001006","1002016 1002006","1003016 1003006","1004016 1004006","1005016 1005006","1006016 1006006","1007016 1007006","1008016 1008006"
"Other or Unknown","0","0","0","0","0","0","0","0"
