"","2016","2017","2018","2019","2020","2021","2022","2023"
"All",3482,4253,4352,4358,3850,3123,2482,2243
"15 - 29",441,511,566,560,478,374,322,300
"30 - 44",1060,1292,1279,1296,1081,896,726,660
"45 - 55",1032,1203,1197,1141,986,747,548,513
"Age 55+",949,1247,1310,1361,1305,1106,886,770
"White",935,1158,1221,1285,1116,891,736,640
"African American",1099,1509,1612,1545,1403,1129,802,693
"Hispanic",0,0,0,0,0,0,0,0
"Asian",510,502,501,472,402,318,296,320
"HIVTest2",1168,1304,1222,1295,1022,851,814,763
"AnySTI2",244,262,264,290,242,220,219,222
"Syph",50,61,64,78,87,69,58,56
"Chlamydia",18,18,19,18,21,28,28,35
"Gonorrhea",42,55,56,75,64,73,78,69
"Trichomoniasis",19,33,39,32,25,19,14,7
"OtherSTI",305,373,406,431,382,318,278,241
"PWID2",1725,1919,1934,1871,1577,1302,1131,1062
"Other2",391,451,467,504,399,356,350,290
"HIVany2",394,546,593,595,551,423,330,234
"STIany2",167,242,270,274,270,199,160,111
"2HR2",583,650,616,682,538,467,485,447
"3HR2",125,140,146,166,116,120,141,139
"HIVTestlookback",1027,1106,1015,1070,799,646,630,583
"AnySTIlookback",139,157,166,180,145,136,155,160
"PWIDlookback",777,829,809,806,640,542,497,508
"Otherlookback",264,278,279,310,221,204,219,207
"HIVanylookback",352,394,382,444,320,273,311,308
"STIanylookback",139,157,166,180,145,136,155,160
"2HRlookback",375,409,387,454,321,279,307,306
"3HRlookback",51,45,56,70,47,59,74,84
"Unknown age",NA,NA,NA,NA,NA,NA,NA,NA
"Other or Unknown",938,1084,1018,1056,929,785,648,590
