"","2016","2017","2018","2019","2020","2021","2022","2023"
"All",13446,16833,18294,18135,15482,13611,11913,11801
"15 - 29",2389,3109,3467,3285,2636,2385,2053,2016
"30 - 44",4606,5837,6400,6390,5476,5005,4543,4702
"45 - 55",3635,4356,4474,4310,3435,2802,2344,2267
"Age 55+",2816,3531,3953,4150,3935,3419,2973,2816
"White",6630,8418,9243,9262,7838,6675,5796,5836
"African American",2150,3082,3442,3316,2986,2522,2017,1715
"Hispanic",0,0,0,0,0,0,0,0
"Asian",784,878,910,879,706,719,659,678
"HIVTest2",7113,8400,9128,8995,7194,6671,6547,7104
"AnySTI2",2846,3201,3578,3569,2637,2701,2650,2852
"Syph",1794,2381,2692,2719,2291,2125,1815,1561
"Chlamydia",772,934,1158,1120,769,1080,1017,1043
"Gonorrhea",1485,1750,2071,2040,1527,1854,1685,1714
"Trichomoniasis",5,9,14,7,5,5,4,5
"OtherSTI",2605,3034,3403,3386,2630,2653,2434,2426
"PWID2",4962,5572,5826,5483,4506,4282,3591,3249
"Other2",4331,5198,6093,6057,4652,4266,4245,4510
"HIVany2",2083,2924,3252,3162,2827,2533,1973,1521
"STIany2",1442,1990,2256,2151,1889,1749,1374,1071
"2HR2",4922,5695,6411,6347,4794,4506,4516,4918
"3HR2",2102,2389,2813,2804,1975,2025,2009,2260
"HIVTestlookback",6525,7651,8189,7924,5976,5488,5524,6089
"AnySTIlookback",1901,2145,2369,2392,1670,1756,1845,2088
"PWIDlookback",2022,2136,2300,2054,1537,1442,1312,1332
"Otherlookback",3056,3371,3864,4102,3017,2435,2730,3279
"HIVanylookback",3778,4367,4992,4904,3475,3240,3471,3914
"STIanylookback",1901,2145,2369,2392,1670,1756,1845,2088
"2HRlookback",3828,4369,4958,4830,3391,3086,3362,3822
"3HRlookback",1145,1225,1431,1580,998,975,1128,1444
"Unknown age",NA,NA,NA,NA,NA,NA,NA,NA
"Other or Unknown",3882,4455,4699,4678,3952,3695,3441,3572
