"","2016","2017","2018","2019","2020","2021","2022","2023"
"All",3001030,3002030,3003030,3004030,3005030,3006030,3007030,3008030
"15 - 29",3001001,3002001,3003001,3004001,3005001,3006001,3007001,3008001
"30 - 44",3001002,3002002,3003002,3004002,3005002,3006002,3007002,3008002
"45 - 55",3001003,3002003,3003003,3004003,3005003,3006003,3007003,3008003
"Age 55+",3001004,3002004,3003004,3004004,3005004,3006004,3007004,3008004
"White",3001005,3002005,3003005,3004005,3005005,3006005,3007005,3008005
"African American",3001007,3002007,3003007,3004007,3005007,3006007,3007007,3008007
"Hispanic",3001008,3002008,3003008,3004008,3005008,3006008,3007008,3008008
"Asian",3001006,3002006,3003006,3004006,3005006,3006006,3007006,3008006
"HIVTest2",3081030,3082030,3083030,3084030,3085030,3086030,3087030,3088030
"AnySTI2",3041030,3042030,3043030,3044030,3045030,3046030,3047030,3048030
"Syph",3169030,3170030,3171030,3172030,3173030,3174030,3175030,3176030
"Chlamydia",3057030,3058030,3059030,3060030,3061030,3062030,3063030,3064030
"Gonorrhea",3073030,3074030,3075030,3076030,3077030,3078030,3079030,3080030
"Trichomoniasis",3177030,3178030,3179030,3180030,3181030,3182030,3183030,3184030
"OtherSTI",3121030,3122030,3123030,3124030,3125030,3126030,3127030,3128030
"PWID2",3137030,3138030,3139030,3140030,3141030,3142030,3143030,3144030
"Other2",3113030,3114030,3115030,3116030,3117030,3118030,3119030,3120030
"HIVany2",3097030,3098030,3099030,3100030,3101030,3102030,3103030,3104030
"STIany2",3153030,3154030,3155030,3156030,3157030,3158030,3159030,3160030
"2HR2",3009030,3010030,3011030,3012030,3013030,3014030,3015030,3016030
"3HR2",3025030,3026030,3027030,3028030,3029030,3030030,3031030,3032030
"HIVTestlookback",3089030,3090030,3091030,3092030,3093030,3094030,3095030,3096030
"AnySTIlookback",3049030,3050030,3051030,3052030,3053030,3054030,3055030,3056030
"PWIDlookback",3145030,3146030,3147030,3148030,3149030,3150030,3151030,3152030
"Otherlookback",3129030,3130030,3131030,3132030,3133030,3134030,3135030,3136030
"HIVanylookback",3105030,3106030,3107030,3108030,3109030,3110030,3111030,3112030
"STIanylookback",3161030,3162030,3163030,3164030,3165030,3166030,3167030,3168030
"2HRlookback",3017030,3018030,3019030,3020030,3021030,3022030,3023030,3024030
"3HRlookback",3033030,3034030,3035030,3036030,3037030,3038030,3039030,3040030
